               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11945,            0.027185,            0.049458,                   0,                   0,                   0,                   0,             0.13148,            0.021271,            0.052922,              0.0802,              0.0022,              0.0022
                   1,             0.12189,            0.025878,            0.047783,                   0,                   0,                   0,                   0,             0.12739,             0.02162,            0.051091,            0.059485,           0.0044852,           0.0044852
                   2,              0.1167,            0.023724,            0.044881,                   0,                   0,                   0,                   0,             0.12224,            0.023229,            0.049487,            0.038755,           0.0067551,           0.0067551
                   3,             0.11696,            0.026216,            0.043644,          0.00026086,           0.0076882,          0.00015853,          1.7601e-05,             0.12064,            0.023733,            0.048962,             0.01801,           0.0090099,           0.0090099
                   4,              0.1136,            0.026723,            0.041608,          0.00090332,            0.039968,          0.00053276,          0.00019776,             0.11916,            0.024735,            0.042858,            0.009868,            0.009868,            0.009868
                   5,             0.10628,            0.028853,            0.040983,          0.00067264,            0.045449,           0.0015684,          0.00069781,             0.12354,            0.025544,            0.043007,            0.009868,            0.009868,            0.009868
                   6,             0.10121,            0.028489,            0.040882,            0.003108,             0.15792,            0.014722,            0.004181,             0.11637,            0.027403,             0.04102,            0.009835,            0.009835,            0.009835
                   7,              0.1036,            0.027922,            0.037652,             0.22557,            0.015912,            0.026464,           0.0077659,             0.11089,            0.028327,            0.040352,            0.009802,            0.009802,            0.009802
                   8,            0.092218,            0.027195,             0.03623,             0.23559,            0.039019,            0.042295,            0.011725,             0.11023,            0.027609,            0.036557,            0.009769,            0.009769,            0.009769
                   9,            0.090648,            0.028358,            0.035246,             0.18518,            0.090512,            0.028758,            0.007958,               0.104,             0.03706,            0.034018,            0.009736,            0.009736,            0.009736
                  10,            0.081302,            0.028995,            0.035105,             0.41398,             0.15506,            0.081696,            0.019521,             0.10688,            0.030279,            0.036459,            0.009703,            0.009703,            0.009703
                  11,             0.08058,            0.027168,            0.034297,             0.69867,             0.17017,             0.12218,            0.036301,            0.088679,            0.023748,            0.029856,             0.00967,             0.00967,             0.00967
                  12,            0.075764,            0.026208,            0.030984,             0.45623,             0.23574,             0.14959,            0.056643,            0.079827,            0.023749,            0.028823,            0.009637,            0.009637,            0.009637
                  13,            0.071787,            0.027286,            0.030667,            0.083376,             0.36426,              0.0962,            0.028266,            0.083408,             0.02281,            0.028562,            0.009604,            0.009604,            0.009604
                  14,            0.077847,            0.026847,            0.036519,             0.30718,             0.30784,             0.19729,            0.077104,             0.07917,            0.026981,            0.030702,            0.009571,            0.009571,            0.009571
                  15,            0.073171,            0.025308,            0.031264,             0.14573,             0.37222,             0.23771,            0.078609,            0.072851,            0.021321,            0.028629,            0.009538,            0.009538,            0.009538
                  16,            0.068374,            0.023589,            0.030078,             0.20333,             0.38958,             0.27242,             0.10157,            0.073161,             0.01955,            0.027722,            0.009505,            0.009505,            0.009505
                  17,            0.071118,            0.023098,            0.032393,             0.22494,              0.5338,             0.26904,             0.10455,            0.069712,             0.02015,            0.025697,            0.009472,            0.009472,            0.009472
                  18,            0.066986,            0.023407,            0.029901,             0.30815,             0.46552,             0.36343,             0.13812,            0.063652,            0.018854,            0.023582,            0.009439,            0.009439,            0.009439
                  19,            0.059103,            0.022971,             0.02454,             0.35161,             0.46925,             0.39461,             0.17658,            0.062764,            0.017663,            0.024885,            0.009406,            0.009406,            0.009406
                  20,             0.06412,            0.022055,            0.031676,             0.35124,             0.50475,             0.41679,             0.17744,            0.064959,            0.018784,            0.023448,            0.009373,            0.009373,            0.009373
                  21,            0.065632,            0.021581,            0.028836,             0.33289,             0.52338,             0.40749,             0.14723,            0.069424,            0.016908,            0.023459,             0.00934,             0.00934,             0.00934
                  22,            0.065154,            0.021857,            0.028322,             0.34822,              0.5262,             0.39719,             0.15098,            0.065652,            0.019134,            0.022726,            0.009307,            0.009307,            0.009307
                  23,            0.058261,            0.021722,            0.025848,             0.36764,             0.51801,             0.50073,             0.18461,            0.068065,            0.017572,            0.020475,            0.009274,            0.009274,            0.009274
                  24,            0.060015,             0.02076,            0.025302,             0.47801,             0.62738,             0.50464,             0.19716,            0.062991,            0.017349,            0.020205,            0.009241,            0.009241,            0.009241
                  25,            0.061421,            0.021379,            0.023664,             0.38648,             0.70226,             0.51163,             0.22257,            0.069605,            0.016592,            0.021841,            0.009208,            0.009208,            0.009208
                  26,            0.057849,            0.021097,            0.023625,              0.4616,             0.62777,             0.55706,             0.19879,            0.058437,            0.016475,            0.021794,            0.009175,            0.009175,            0.009175
                  27,            0.056402,            0.021051,             0.02492,             0.50123,              0.5446,             0.56153,             0.23941,            0.061333,            0.016964,            0.019191,            0.009142,            0.009142,            0.009142
                  28,            0.057718,            0.020573,            0.023477,             0.45702,             0.59683,             0.52901,             0.20892,            0.057727,            0.017125,            0.019066,            0.009109,            0.009109,            0.009109
                  29,            0.059337,            0.020173,            0.022996,             0.51645,              0.6928,             0.63715,             0.27048,            0.055363,            0.015929,            0.017092,            0.009076,            0.009076,            0.009076
                  30,            0.058153,            0.019953,            0.021343,             0.61076,             0.64368,             0.60006,             0.26384,            0.056076,            0.015182,            0.019338,            0.009043,            0.009043,            0.009043
                  31,            0.053761,            0.020101,            0.021888,             0.63588,             0.70105,             0.68582,             0.28744,            0.059532,            0.014846,            0.020333,             0.00901,             0.00901,             0.00901
                  32,             0.05495,            0.018837,             0.02038,             0.61034,             0.77192,             0.70921,              0.3092,            0.055031,             0.01478,            0.019057,            0.008977,            0.008977,            0.008977
                  33,            0.053745,            0.019638,            0.017534,             0.56376,             0.70923,             0.63216,              0.2657,            0.059411,            0.015525,            0.015359,            0.008944,            0.008944,            0.008944
                  34,            0.056604,            0.019081,            0.019786,              0.5941,             0.69258,             0.63725,             0.22532,            0.057056,            0.015129,            0.014549,            0.008911,            0.008911,            0.008911
                  35,            0.055262,            0.019374,            0.018385,             0.63036,             0.77316,             0.70724,             0.28782,            0.057105,            0.014587,            0.013907,            0.008878,            0.008878,            0.008878
                  36,            0.048979,            0.018655,             0.01866,             0.68402,             0.72317,             0.73521,             0.33268,            0.054145,            0.014876,            0.013424,            0.008845,            0.008845,            0.008845
                  37,            0.054955,            0.018582,            0.017648,             0.71616,             0.73158,             0.75075,             0.32712,            0.056716,            0.014218,            0.012908,            0.008812,            0.008812,            0.008812
                  38,             0.05513,            0.018913,            0.015247,              0.7004,             0.74456,             0.73811,             0.35426,            0.054688,            0.014068,            0.011889,            0.008779,            0.008779,            0.008779
                  39,            0.054776,            0.017477,            0.016708,             0.67272,             0.78875,             0.77813,             0.34385,             0.05813,            0.014372,             0.01108,            0.008746,            0.008746,            0.008746
                  40,            0.049212,            0.017839,            0.015277,             0.73042,             0.77476,              0.8065,             0.33944,            0.053601,            0.013788,            0.010563,            0.008713,            0.008713,            0.008713
                  41,            0.052808,            0.018291,            0.016547,             0.68779,             0.73974,             0.75862,             0.34066,            0.054251,            0.013785,            0.010935,             0.00868,             0.00868,             0.00868
                  42,            0.051763,            0.017863,            0.015802,             0.66683,             0.79234,             0.74953,             0.32461,            0.051107,            0.013831,            0.010228,            0.008647,            0.008647,            0.008647
                  43,            0.052653,            0.017092,            0.014884,             0.75481,             0.78397,             0.79325,             0.35727,            0.054437,              0.0141,           0.0094517,            0.008614,            0.008614,            0.008614
                  44,            0.046981,            0.016881,            0.014376,             0.77126,             0.78038,              0.8187,             0.37736,             0.05239,            0.014542,           0.0099295,            0.008581,            0.008581,            0.008581
                  45,            0.054406,             0.01664,            0.016313,             0.78149,             0.81216,             0.81986,             0.37028,            0.054503,            0.014027,            0.010593,            0.008548,            0.008548,            0.008548
                  46,            0.051443,            0.016372,            0.017149,             0.84567,              0.8239,             0.82964,             0.36415,            0.059566,            0.013669,            0.010261,            0.008515,            0.008515,            0.008515
                  47,            0.050686,            0.016716,            0.015624,             0.82908,              0.7977,             0.84092,             0.40662,            0.045081,            0.015143,            0.010186,            0.008482,            0.008482,            0.008482
                  48,            0.046195,            0.017238,            0.013661,             0.74523,              0.7445,             0.74478,             0.28082,            0.051235,            0.014409,           0.0096663,            0.008449,            0.008449,            0.008449
                  49,            0.048675,            0.017034,            0.013846,             0.76161,             0.77016,             0.78224,             0.29767,            0.054235,            0.014373,           0.0087622,            0.008416,            0.008416,            0.008416
                  50,            0.047457,            0.017389,            0.013276,             0.90874,             0.79242,             0.87132,             0.41765,            0.047247,            0.014421,           0.0080046,            0.008383,            0.008383,            0.008383
                  51,            0.048143,            0.016456,            0.011062,             0.85354,             0.79905,             0.84446,             0.38038,            0.054749,            0.013684,           0.0084417,             0.00835,             0.00835,             0.00835
                  52,               0.049,            0.016627,            0.013773,             0.88996,             0.84411,             0.87992,             0.40683,               0.047,            0.013285,             0.00867,            0.008317,            0.008317,            0.008317
                  53,            0.047974,            0.017128,            0.011557,             0.88244,             0.82826,             0.88396,             0.38494,            0.045576,            0.013245,           0.0087118,            0.008284,            0.008284,            0.008284
                  54,             0.04575,             0.01654,            0.011362,             0.84416,             0.81445,             0.82896,             0.37666,            0.043378,            0.013604,           0.0087519,            0.008251,            0.008251,            0.008251
                  55,            0.047818,            0.015118,            0.012952,             0.87932,             0.80353,             0.87251,             0.37592,            0.044821,            0.013466,           0.0082363,            0.008218,            0.008218,            0.008218
                  56,            0.046581,            0.015869,            0.009638,             0.87861,              0.8568,             0.86918,             0.39559,            0.046067,            0.013233,           0.0078884,            0.008185,            0.008185,            0.008185
                  57,            0.047766,            0.016164,            0.010711,             0.87994,             0.85343,             0.87762,             0.39477,            0.051377,            0.013153,           0.0065755,            0.008152,            0.008152,            0.008152
                  58,            0.048456,            0.016493,           0.0081096,             0.90914,             0.86512,             0.89759,             0.42064,            0.046687,            0.013213,           0.0069757,            0.008119,            0.008119,            0.008119
                  59,             0.04642,            0.016181,           0.0098569,             0.90707,             0.84217,             0.90298,             0.41335,            0.056117,            0.013866,           0.0059841,            0.008086,            0.008086,            0.008086
                  60,             0.04516,            0.015446,            0.012514,             0.86113,              0.8223,             0.87112,             0.38718,            0.049297,            0.013435,           0.0058631,            0.008053,            0.008053,            0.008053
                  61,            0.044517,            0.015667,            0.010327,             0.89805,             0.86473,              0.9062,             0.42776,            0.045876,            0.013358,           0.0059381,             0.00802,             0.00802,             0.00802
                  62,            0.048624,            0.015754,            0.010474,             0.93469,             0.81744,             0.90112,              0.4018,             0.05834,            0.013678,           0.0055315,            0.007987,            0.007987,            0.007987
                  63,            0.046556,            0.016081,           0.0090322,             0.96758,             0.88169,             0.92953,             0.45272,            0.049434,            0.013826,           0.0060493,            0.007954,            0.007954,            0.007954
                  64,            0.043781,            0.016052,           0.0094506,             0.92145,             0.88622,             0.91525,             0.44098,            0.045881,            0.013469,           0.0052225,            0.007921,            0.007921,            0.007921
                  65,            0.044345,            0.015149,           0.0093125,             0.90366,             0.87158,             0.90045,             0.42726,            0.051548,            0.013982,            0.004456,            0.007888,            0.007888,            0.007888
                  66,            0.047424,            0.014703,           0.0081531,             0.92274,             0.89212,             0.92455,              0.4444,             0.04971,            0.013516,           0.0042563,            0.007855,            0.007855,            0.007855
                  67,            0.047148,            0.016243,            0.010587,              0.9138,             0.86551,              0.9081,             0.43181,             0.04616,             0.01325,           0.0055779,            0.007822,            0.007822,            0.007822
                  68,            0.041421,            0.015574,           0.0061701,             0.87707,             0.88576,             0.91339,             0.42403,            0.046126,            0.013022,           0.0054697,            0.007789,            0.007789,            0.007789
                  69,            0.047348,             0.01547,           0.0080664,             0.84249,             0.87252,             0.87609,             0.36109,             0.04896,            0.012913,           0.0051021,            0.007756,            0.007756,            0.007756
                  70,            0.044937,            0.015638,            0.010526,             0.94175,             0.89317,             0.92232,              0.4377,            0.040448,            0.013439,           0.0062619,            0.007723,            0.007723,            0.007723
                  71,            0.043776,            0.015818,           0.0091728,             0.91154,             0.88941,             0.91639,              0.4391,            0.047558,            0.013396,           0.0056757,             0.00769,             0.00769,             0.00769
                  72,             0.04632,            0.015631,           0.0084033,             0.92269,             0.86954,             0.89463,             0.42268,            0.046502,            0.013867,           0.0043123,            0.007657,            0.007657,            0.007657
                  73,            0.045153,            0.015414,           0.0075709,             0.91644,             0.91427,             0.91854,             0.41349,            0.043315,            0.013736,           0.0044579,            0.007624,            0.007624,            0.007624
                  74,            0.043572,            0.015781,           0.0079676,             0.92868,              0.8896,             0.92345,             0.38766,            0.049504,            0.014689,           0.0044703,            0.007591,            0.007591,            0.007591
                  75,             0.04665,            0.015309,            0.008593,             0.92925,             0.89289,             0.93016,             0.43629,            0.040684,            0.013158,           0.0052763,            0.007558,            0.007558,            0.007558
                  76,            0.042939,            0.015132,           0.0079651,             0.92158,             0.88624,             0.92524,             0.43322,            0.042605,            0.013304,           0.0045685,            0.007525,            0.007525,            0.007525
                  77,            0.043278,            0.014633,           0.0084572,             0.94222,             0.87679,             0.91852,             0.41808,            0.049185,            0.013375,           0.0045628,            0.007492,            0.007492,            0.007492
                  78,            0.043696,            0.015139,           0.0067643,             0.88939,              0.8745,             0.90078,             0.41852,            0.044093,            0.012858,            0.005288,            0.007459,            0.007459,            0.007459
                  79,            0.042952,            0.014636,           0.0083898,             0.95872,             0.92569,             0.96076,             0.46589,             0.04259,            0.012698,            0.004453,            0.007426,            0.007426,            0.007426
                  80,            0.041419,            0.015279,           0.0058364,             0.94977,             0.88275,             0.93168,             0.44964,            0.045079,            0.012616,           0.0038811,            0.007393,            0.007393,            0.007393
                  81,            0.043014,            0.015192,           0.0057426,             0.92791,             0.88229,             0.91876,             0.42093,            0.041556,            0.012738,           0.0037153,             0.00736,             0.00736,             0.00736
                  82,            0.045325,            0.015537,           0.0079279,              0.8837,             0.84998,             0.88356,             0.38061,            0.046149,            0.012835,            0.003826,            0.007327,            0.007327,            0.007327
                  83,            0.045478,            0.015122,           0.0068901,             0.87173,              0.8403,             0.86247,             0.35367,            0.044333,            0.013392,           0.0038481,            0.007294,            0.007294,            0.007294
                  84,            0.040049,            0.015562,            0.007282,             0.90847,             0.89346,             0.91052,             0.42904,            0.043759,            0.012709,            0.003922,            0.007261,            0.007261,            0.007261
                  85,            0.044326,            0.014998,           0.0079011,             0.91874,             0.88784,             0.91823,              0.4449,            0.042743,            0.012799,           0.0034822,            0.007228,            0.007228,            0.007228
                  86,            0.039435,            0.015169,           0.0074855,             0.96183,             0.88563,             0.93947,             0.44425,            0.043757,            0.012427,           0.0031968,            0.007195,            0.007195,            0.007195
                  87,             0.04118,            0.014992,           0.0074283,             0.97433,             0.91805,             0.94691,             0.44248,            0.044189,            0.012575,           0.0032182,            0.007162,            0.007162,            0.007162
                  88,            0.038271,            0.014095,           0.0051022,             0.93509,             0.89504,             0.92314,             0.44233,            0.049583,            0.012231,           0.0033699,            0.007129,            0.007129,            0.007129
                  89,             0.04146,            0.014499,           0.0053393,             0.97922,             0.91303,             0.93646,             0.45403,            0.045281,            0.012712,           0.0034914,            0.007096,            0.007096,            0.007096
                  90,            0.042658,            0.014806,           0.0071522,             0.95483,             0.91554,             0.93201,             0.42719,              0.0463,            0.013237,           0.0036047,            0.007063,            0.007063,            0.007063
                  91,            0.042214,            0.013975,           0.0066801,             0.97442,             0.91292,             0.93525,             0.45222,              0.0434,            0.013177,           0.0035691,             0.00703,             0.00703,             0.00703
                  92,             0.04268,            0.014711,           0.0066008,             0.93931,             0.92188,             0.93991,             0.43478,             0.04193,             0.01304,           0.0035726,            0.006997,            0.006997,            0.006997
                  93,             0.04041,            0.015011,           0.0044603,             0.94501,             0.90173,             0.93815,             0.45477,            0.040098,            0.013289,           0.0032732,            0.006964,            0.006964,            0.006964
                  94,            0.038263,            0.014575,           0.0047177,             0.91829,             0.88269,             0.90148,             0.39897,            0.041176,            0.013432,           0.0034989,            0.006931,            0.006931,            0.006931
                  95,            0.040966,            0.014836,           0.0053811,             0.95975,             0.90669,             0.92862,             0.46235,            0.040467,            0.013048,           0.0029397,            0.006898,            0.006898,            0.006898
                  96,            0.041242,            0.013831,           0.0054457,              0.9377,             0.87787,             0.91076,             0.42241,            0.043572,            0.013175,           0.0028798,            0.006865,            0.006865,            0.006865
                  97,            0.040539,            0.014998,           0.0050144,             0.97226,             0.93135,             0.94888,             0.43097,            0.042458,            0.013389,           0.0027617,            0.006832,            0.006832,            0.006832
                  98,            0.043007,             0.01458,           0.0065796,              0.9653,             0.91795,             0.96008,              0.4679,            0.040129,             0.01269,           0.0031753,            0.006799,            0.006799,            0.006799
                  99,            0.037854,            0.014418,            0.005756,             0.92848,             0.92502,             0.95023,             0.46305,            0.041769,             0.01226,           0.0030526,            0.006766,            0.006766,            0.006766
                 100,            0.039054,            0.014466,           0.0040297,             0.95609,              0.9091,             0.95459,             0.44276,            0.044079,            0.012515,           0.0030098,            0.006733,            0.006733,            0.006733
                 101,            0.038437,            0.014153,           0.0048938,             0.94047,             0.91515,             0.94598,             0.44582,             0.04871,            0.012986,           0.0029067,              0.0067,              0.0067,              0.0067
                 102,            0.038726,            0.014428,           0.0052746,             0.95789,             0.89473,             0.92733,             0.47041,            0.041649,            0.013127,           0.0038246,            0.006667,            0.006667,            0.006667
                 103,            0.038908,            0.014243,           0.0047893,             0.96409,             0.89476,             0.94273,             0.46333,            0.042746,            0.013094,           0.0038235,            0.006634,            0.006634,            0.006634
                 104,            0.039273,            0.014296,           0.0051725,             0.96641,             0.94248,             0.96577,             0.45997,            0.042525,            0.012965,           0.0029865,            0.006601,            0.006601,            0.006601
                 105,            0.037059,            0.013803,           0.0038224,             0.95548,             0.93544,             0.96067,             0.45649,            0.042028,            0.012886,            0.002616,            0.006568,            0.006568,            0.006568
                 106,            0.038438,            0.014331,           0.0047027,             0.96272,             0.93332,             0.96541,              0.4531,            0.042111,            0.012681,           0.0025702,            0.006535,            0.006535,            0.006535
                 107,            0.039021,            0.013598,           0.0050649,             0.93261,             0.90427,             0.93792,             0.45558,            0.043828,            0.012534,           0.0027964,            0.006502,            0.006502,            0.006502
                 108,            0.039982,            0.014159,           0.0050701,             0.96735,             0.94709,             0.97502,             0.49374,            0.038512,             0.01249,           0.0032714,            0.006469,            0.006469,            0.006469
                 109,            0.040085,            0.014042,           0.0078418,             0.95873,             0.93929,             0.95898,             0.45804,            0.038619,            0.012458,            0.003402,            0.006436,            0.006436,            0.006436
                 110,            0.036659,            0.013945,           0.0048841,             0.97324,             0.93718,             0.96912,             0.46831,            0.038806,            0.012593,           0.0032587,            0.006403,            0.006403,            0.006403
                 111,            0.039711,            0.013393,            0.003945,             0.96541,              0.9473,             0.95711,             0.44926,            0.042516,            0.012965,           0.0030304,             0.00637,             0.00637,             0.00637
                 112,            0.038674,            0.013952,           0.0039263,             0.94766,              0.9099,              0.9511,             0.43994,            0.043242,            0.012949,           0.0033655,            0.006337,            0.006337,            0.006337
                 113,            0.039093,            0.014388,           0.0056258,             0.94286,             0.91929,             0.96442,              0.4706,            0.039594,            0.012826,           0.0035769,            0.006304,            0.006304,            0.006304
                 114,            0.038905,            0.013911,           0.0051733,             0.95695,             0.93623,             0.95893,              0.4435,            0.036524,             0.01265,            0.003676,            0.006271,            0.006271,            0.006271
                 115,            0.036045,            0.013801,           0.0041406,             0.96149,             0.93363,              0.9731,             0.48188,            0.045279,            0.012603,           0.0032036,            0.006238,            0.006238,            0.006238
                 116,            0.040231,            0.014025,           0.0049654,             0.96107,             0.92863,             0.97267,             0.47575,            0.041387,            0.012726,           0.0029823,            0.006205,            0.006205,            0.006205
                 117,            0.036571,            0.014023,           0.0030504,             0.97352,             0.92859,             0.96282,             0.46296,            0.039095,            0.013123,           0.0030086,            0.006172,            0.006172,            0.006172
                 118,            0.037767,            0.014025,            0.004823,                0.95,             0.88938,             0.93703,             0.45288,            0.040248,            0.013173,           0.0031589,            0.006139,            0.006139,            0.006139
                 119,            0.038701,            0.013514,           0.0044576,             0.94593,             0.90348,             0.93754,             0.42677,            0.046122,            0.013257,           0.0030554,            0.006106,            0.006106,            0.006106
                 120,            0.036184,            0.013305,           0.0042631,             0.95174,             0.94779,             0.96786,             0.47423,            0.041329,            0.012814,            0.003387,            0.006073,            0.006073,            0.006073
                 121,             0.03646,            0.013821,           0.0060558,             0.96457,             0.94639,             0.96937,             0.47996,            0.044951,            0.012759,           0.0032757,             0.00604,             0.00604,             0.00604
                 122,            0.039092,            0.014015,           0.0083155,             0.96642,             0.95836,             0.97183,             0.50062,            0.043604,            0.012693,           0.0030431,            0.006007,            0.006007,            0.006007
                 123,             0.03752,            0.013773,           0.0047426,             0.94703,             0.93612,             0.96271,             0.49059,            0.044401,            0.012596,           0.0031165,            0.005974,            0.005974,            0.005974
                 124,             0.03679,            0.014255,           0.0056894,             0.97091,              0.9503,             0.96922,             0.49775,            0.047298,            0.012687,           0.0025051,            0.005941,            0.005941,            0.005941
                 125,            0.035601,            0.013452,           0.0038803,             0.95455,             0.94106,             0.96147,             0.48731,            0.047492,            0.012634,           0.0023508,            0.005908,            0.005908,            0.005908
                 126,            0.034695,            0.013745,           0.0041189,             0.95149,             0.93405,             0.95475,             0.47109,            0.039334,            0.012434,           0.0032709,            0.005875,            0.005875,            0.005875
                 127,            0.035027,            0.013539,           0.0045203,             0.95922,             0.95842,             0.97522,              0.4905,            0.035786,            0.012137,            0.002967,            0.005842,            0.005842,            0.005842
                 128,            0.035644,            0.013618,           0.0036706,             0.93428,             0.93491,             0.94484,               0.474,            0.041901,            0.012209,           0.0029537,            0.005809,            0.005809,            0.005809
                 129,            0.037423,             0.01357,           0.0032321,             0.94487,             0.90501,              0.9411,             0.45413,            0.042919,            0.012547,           0.0030281,            0.005776,            0.005776,            0.005776
                 130,            0.038016,            0.014032,           0.0060212,             0.95581,             0.94366,             0.96271,             0.46425,             0.03957,            0.012379,           0.0026188,            0.005743,            0.005743,            0.005743
                 131,            0.036227,            0.013768,           0.0043453,             0.96839,             0.95012,             0.96905,             0.47657,            0.041669,            0.013132,           0.0024406,             0.00571,             0.00571,             0.00571
                 132,            0.034629,            0.013562,           0.0057137,             0.95127,             0.93527,             0.94428,              0.4381,            0.041827,            0.013072,           0.0025376,            0.005677,            0.005677,            0.005677
                 133,            0.036642,            0.013154,           0.0048788,             0.96131,             0.95206,             0.96408,             0.47301,            0.045366,             0.01307,           0.0025744,            0.005644,            0.005644,            0.005644
                 134,            0.034697,            0.013465,           0.0032956,             0.96395,             0.94837,             0.95558,             0.45528,            0.044705,            0.012747,           0.0025623,            0.005611,            0.005611,            0.005611
                 135,            0.036582,            0.013561,            0.005456,             0.95978,             0.94336,             0.95815,             0.46195,            0.044597,            0.013358,           0.0025618,            0.005578,            0.005578,            0.005578
                 136,            0.038301,            0.013923,           0.0052951,             0.93191,             0.92305,             0.92579,             0.44128,            0.043487,            0.012829,           0.0023409,            0.005545,            0.005545,            0.005545
                 137,            0.037614,            0.013377,           0.0036364,             0.94577,             0.95306,             0.95941,             0.47311,            0.045033,             0.01273,           0.0022357,            0.005512,            0.005512,            0.005512
                 138,            0.036624,            0.013353,           0.0057631,              0.9623,             0.92047,             0.94868,             0.46551,             0.04708,             0.01282,           0.0020894,            0.005479,            0.005479,            0.005479
                 139,            0.037757,            0.013259,           0.0043437,             0.97186,             0.96521,             0.96513,             0.48505,            0.044088,            0.012697,           0.0022474,            0.005446,            0.005446,            0.005446
                 140,            0.034731,            0.014208,           0.0028984,             0.96282,             0.95173,             0.96728,             0.48558,            0.048818,            0.012676,           0.0022802,            0.005413,            0.005413,            0.005413
                 141,             0.03429,            0.013067,           0.0036909,             0.95651,             0.94973,             0.96275,             0.47583,            0.046576,            0.012946,           0.0025419,             0.00538,             0.00538,             0.00538
                 142,            0.034477,            0.012423,           0.0044756,             0.96875,             0.93682,             0.97257,             0.48621,             0.03882,            0.012649,           0.0032768,            0.005347,            0.005347,            0.005347
                 143,            0.038223,            0.013656,           0.0036202,             0.94231,             0.90233,             0.93552,             0.44249,            0.045186,            0.013031,           0.0034735,            0.005314,            0.005314,            0.005314
                 144,            0.036372,            0.013586,            0.003581,             0.94468,             0.94142,             0.96426,             0.47163,             0.04441,            0.012911,            0.003251,            0.005281,            0.005281,            0.005281
                 145,            0.031894,            0.012552,           0.0045126,              0.9544,             0.95223,             0.97133,              0.4893,            0.046572,            0.012721,           0.0028085,            0.005248,            0.005248,            0.005248
                 146,            0.035469,            0.013704,            0.006912,              0.9594,             0.95348,             0.96503,             0.49641,            0.046398,            0.012695,           0.0027242,            0.005215,            0.005215,            0.005215
                 147,            0.032127,            0.013089,           0.0046206,             0.97542,             0.92747,              0.9689,             0.49393,            0.041184,            0.012031,           0.0034701,            0.005182,            0.005182,            0.005182
                 148,            0.032315,            0.013148,           0.0048063,             0.93941,             0.95871,             0.96594,             0.48283,            0.042418,             0.01214,           0.0031579,            0.005149,            0.005149,            0.005149
